,name,formatted_phone_number,website,formatted_address
0,Renan Lanches Indaiatuba,(19) 99246-4870,"https://www.facebook.com/profile.php?id=100011583789576&__tn__=,dC-R-R&eid=ARCR1crx2BCcshyj0WGlZ9luGgZuks7k-2IMfD7dG6p6Ra4bHQscKq0tELImmmV-FIpbrjCEzitF4uv4&hc_ref=ARReKWdTVj494ZlmDJE9Vyb28HWRui5__V4lqGzEXnbcaLw2dQpyWguyEnR5OfOPlps&fref=nf&post_id=1885199591527988","R. Albina Brizola Ulistka, 685 - Jardim Remulo Zoppi, Indaiatuba - SP, 13345-330, Brazil"
1,Skina's Lanches,(19) 3835-1437,,"R. Lídia Stein Batisti, 1541 - Jardim California, Indaiatuba - SP, 13344-360, Brazil"
2,Lobão Lanches Indaiatuba,(19) 99221-2340,https://bit.ly/38q1hZt,"R. Cerqueira César, 1253 - Centro, Indaiatuba - SP, 13330-005, Brazil"
3,CL lanches indaiatuba,(19) 99183-8129,,"R. Alcides Pironhe - Nucleo Hab. Brg. Faria Lima, Indaiatuba - SP, 13345-430, Brazil"
4,Alemão Lanches Box 6 Indaiatuba,(19) 97124-1364,,"Av. Francisco de Paula Leite - Jardim Kioto II, Indaiatuba - SP, 13344-325, Brazil"
5,Bandeira Burger's,(19) 99604-7828,,"R. Albina Brizola Ulistka, 846 - Jardim Bom Principio, Indaiatuba - SP, 13345-330, Brazil"
6,Billy Lanches,3392-8550,http://www.billylanches.com.br/,"R. Silvio Candello, nº532 - antiga 70 - Jardim Morada do Sol, Indaiatuba - SP, 13348-243, Brazil"
7,Alemão LANCHES box5 indaiatuba,(19) 99564-9713,,"box5 bolevar - Av. Geraldo Hackmann, 209 - Nucleo Hab. Brg. Faria Lima, Indaiatuba - SP, 13345-400, Brazil"
8,Vilma lanches praça,(19) 3017-5114,,"Praça Prudente de Moraes, Box 07 - Centro, Indaiatuba - SP, 13330-000, Brazil"
9,Disk Entrega Ki Lanches,(19) 99342-8195,,"R. Dr. Renato Riggio, 515 - Parque das Nacoes, Indaiatuba - SP, 13346-090, Brazil"
10,Madruga Lanches,(19) 98990-4263,,"Praça Prudente de Moraes, s/n - Box 8 - Centro, Indaiatuba - SP, 13330-260, Brazil"
11,Disk Cidão Lanhces,(19) 3875-5220,,"51 - Av. Geraldo Hackmann - Nucleo Hab. Brg. Faria Lima, Indaiatuba - SP, 13345-400, Brazil"
12,Mineiro Lanches,(19) 99100-4461,https://m.facebook.com/Mineiro-Lanches-1319255298088030/,"R. Candelária - Centro, Indaiatuba - SP, 13330-180, Brazil"
13,Kentinhos Lanches,,,"Rua Sílvio Talli, 503 - Jardim California, Indaiatuba - SP, 13344-241, Brazil"
14,Vall Lanches,(19) 3894-4720,,"Av. Pres. Kennedy, 796 - Cidade Nova I, Indaiatuba - SP, 13334-170, Brazil"
15,Prata Lanches,(19) 99326-5024,https://www.facebook.com/pages/Prata-Lanches/719862721376292,"R. Treze de Maio, Numero 333 - Centro, Indaiatuba - SP, 13330-120, Brazil"
16,FAMINTOS SPORT BAR LANCHES,(19) 99419-6834,https://m.facebook.com/Famintos-Sport-Bar-Lanches-1277324045731635/?ref=bookmarks,"Av. Eng. Fábio Roberto Barnabé, 3862 - Jardim Monte Verde, Indaiatuba - SP, 13349-003, Brazil"
17,Jujuba Lanches,(19) 3885-4132,,"R. Vinte e Quatro de Maio, 592 - Centro, Indaiatuba - SP, 13330-060, Brazil"
18,Bubu Lanches,(19) 99203-5790,,"R. Antônio Brega, 14 - Jardim Oliveira Camargo, Indaiatuba - SP, 13340-705, Brazil"
19,Zilda Lanches,(19) 3017-2933,,"Praça Dom Pedro II, 2 - Centro, Indaiatuba - SP, 13330-080, Brazil"
